opcode_hex,java_mnemonic,java_mode,java_bytes,java_base_cycles,wdc_token,wdc_mnemonic_guess,mnemonic_match_guess,spec_mnemonic_ref,spec_mode_ref,spec_cycles_ref,cycle_compare,overall_compare
E0,CPX,IMM,2,2,cpx_imm,CPX,yes,CPX,IMM,2,match,match
E1,SBC,IND_X,2,6,sbc_s_idx,SBC,yes,SBC,IND_X,5/7,match,match
E2,NOP,IMP,2,2,nop_imm,NOP,yes,NOP,IMM,2,match,match
E3,NOP,IMP,1,1,nop_c_imp,NOP,yes,NOP,IMP,1,match,match
E4,CPX,ZPG,2,3,cpx_zpg,CPX,yes,CPX,ZPG,3,match,match
E5,SBC,ZPG,2,3,sbc_c_zpg,SBC,yes,SBC,ZPG,2/4,match,match
E6,INC,ZPG,2,5,inc_s_zpg,INC,yes,INC,ZPG,5,match,match
E7,NOP,IMP,1,1,smb_bzp,SMB,no,NOP,IMP,1,match,mismatch
E8,INX,IMP,1,2,inx_imp,INX,yes,INX,IMP,2,match,match
E9,SBC,IMM,2,2,sbc_c_imm,SBC,yes,SBC,IMM,1/3,match,match
EA,NOP,IMP,1,2,nop_imp,NOP,yes,NOP,IMP,2,match,match
EB,NOP,IMP,1,1,nop_c_imp,NOP,yes,NOP,IMP,1,match,match
EC,CPX,ABS,3,4,cpx_aba,CPX,yes,CPX,ABS,4,match,match
ED,SBC,ABS,3,4,sbc_c_aba,SBC,yes,SBC,ABS,3/5,match,match
EE,INC,ABS,3,6,inc_c_aba,INC,yes,INC,ABS,6,match,match
EF,NOP,IMP,1,1,bbs_zpb,BBS,no,NOP,IMP,1,match,mismatch
F0,BEQ,REL,2,2,beq_rel,BEQ,yes,BEQ,REL,1/3,match,match
F1,SBC,IND_Y,2,5,sbc_s_idy,SBC,yes,SBC,IND_Y,3/7,match,match
F2,SBC,ZPG_IND,2,5,sbc_c_zpi,SBC,yes,SBC,ZPG_IND,4/6,match,match
F3,NOP,IMP,1,1,nop_c_imp,NOP,yes,NOP,IMP,1,match,match
F4,NOP,IMP,2,4,nop_s_zpx,NOP,yes,NOP,ZPG_X,4,match,match
F5,SBC,ZPG_X,2,4,sbc_s_zpx,SBC,yes,SBC,ZPG_X,3/5,match,match
F6,INC,ZPG_X,2,6,inc_s_zpx,INC,yes,INC,ZPG_X,6,match,match
F7,NOP,IMP,1,1,smb_bzp,SMB,no,NOP,IMP,1,match,mismatch
F8,SED,IMP,1,2,sed_imp,SED,yes,SED,IMP,2,match,match
F9,SBC,ABS_Y,3,4,sbc_s_aby,SBC,yes,SBC,ABS_Y,2/6,match,match
FA,PLX,IMP,1,4,plx_s_imp,PLX,yes,PLX,IMP,4,match,match
FB,NOP,IMP,1,1,nop_c_imp,NOP,yes,NOP,IMP,1,match,match
FC,NOP,IMP,3,4,nop_s_abx,NOP,yes,NOP,ABS_X,4,match,match
FD,SBC,ABS_X,3,4,sbc_s_abx,SBC,yes,SBC,ABS_X,2/6,match,match
FE,INC,ABS_X,3,6,inc_s_abx,INC,yes,INC,ABS_X,7,mismatch,mismatch
FF,NOP,IMP,1,1,bbs_zpb,BBS,no,NOP,IMP,1,match,mismatch
